Batch plan id,Batch plan/Process(Parent Job),Sequence,Enabled?,Job group(Sub-job),Date & Start Time,Schedule,Status (Automated/Manual),Active vs Non Active,BP sequence,BP name,BP description,Group dependency,Dependency behavior,Command Name,Selection.description,Selection.ID
100001,"MRI, not needed (Scheduled maintenance)",1,1,Cleanup expired quotes,,Night,Manual,Non Active,,,,,3058,,,
100001,"MRI, not needed (Scheduled maintenance)",2,1,Cleanup obsolete work flow processes,,Night,Manual,Non Active,,,,,3058,,,
100001,"MRI, not needed (Scheduled maintenance)",3,1,Data mart related jobs,,Night,Manual,Non Active,,,,,3058,,,
100001,"MRI, not needed (Scheduled maintenance)",4,1,Cancel workorders not progressed for 60 Months,,Monthly,Manual,Non Active,,,,,3058,,,
100001,"MRI, not needed (Scheduled maintenance)",5,1,Update quote status to Contract Created,,Night,Manual,Non Active,,,,,3058,,,
100002,"MRI, not needed (BQ)",1,0,Deferred bulk quotation jobs (run once),,Evening,Manual,Non Active,1,Run bulk quotation jobs (run once),"runs deferred, one-off bulk quotation jobs",,3058,ExecuteBulkProcessor,Bulk quotation jobs (run once),100089
100002,"MRI, not needed (BQ)",2,0,Repeated bulk quotation jobs (monthly),,Monthly,Manual,Non Active,1,Run bulk quotation jobs (monthly),(re-)runs monthly bulk quotation jobs,,3058,ExecuteBulkProcessor,Bulk quotation jobs (monthly),100090
100003,Sales follow-up,1,1,Follow-up requests,,Weekly - Monday,Automated,Active,1,quotes expiring by end of the week,exports the quotes expiring by end of each week,,3058,ExportSearchData,,
100003,Sales follow-up,2,0,"Update customer status  - MRI, not needed",,Disabled,Manual,Non Active,1,Set customer status to 'active (fleet)',Sets the customerState to active when one or more initialized or running contracts are found: - for new customers with status 'qualified (fleet)' = 1st time activation - for returning customers with status 'no active fleet' = re-activation,,3058,ExecuteFormula,Find customers to be activated,100113
100003,Sales follow-up,2,0,"Update customer status  - MRI, not needed",,Disabled,Manual,Non Active,2,Set credit review date to low-date,Sets the credit review date to {low} for customers that have no longer any 'running' or 'initialized' contracts and whose current state is 'active'. Assumption: credit situation outdated and to be reviewed before creating new contracts.,,3058,ExecuteFormula,Find customers to be discontinued,100115
100003,Sales follow-up,2,0,"Update customer status  - MRI, not needed",,Disabled,Manual,Non Active,3,Set customer status to 'no active fleet',Sets the customerState to 'no active fleet' for these customers that have no longer any 'running' or 'initialized' contracts and whose current state is 'active'.  The selection ignores enterprises.,,3058,ExecuteFormula,Find customers to be discontinued,100115
100003,Sales follow-up,3,1,Customer communication - Documents,,Last day Monthly,Manual,Active,1,Future Rental Liability,The Future Rental Liability is a document provided to customers to indicate the number of contract with details showing the monthly rental as well as the total of all future rentals that will become due.,,3058,GenerateAndSendDocument,Future Rental Liability customer,500415
100004,Credit follow-up,1,1,Anticipate credit reviews,20/12/2021 18:49,Last day Monthly,Automated,Active,1,Refresh credit information,Recalculates credit exposure and (optionally) triggers ad hoc activity if review of credit limit would be needed when nearing expiry or nearing max usage ratio,,3058,RefreshCreditInformation,,
100004,Credit follow-up,1,1,Anticipate credit reviews,13/11/2021 12:38,Last day Monthly,Automated,Active,1,Refresh credit information,Recalculates credit exposure and (optionally) triggers ad hoc activity if review of credit limit would be needed when nearing expiry or nearing max usage ratio,,3058,RefreshCreditInformation,,
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,1,Vehicle procurement upfront billing item generation,"Creates the billing items to charge back the vehicle procurement, delivery costs and vehicle procurement fee",,3057,BillUpfrontForContractCommand,Vehicle procurement contracts for upfront BI generation,500437
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,2,Vehicle procurement invoicing,Creates outgoing invoices for vehicle procurement invoices on a daily basis.,,3057,GenerateInvoice,,
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,50,Set Joint Venture on outgoing sales invoice - Twice daily,Updates the Joint Venture on sales invoice,,3057,ExecuteFormula,Find outgoing invoices to set joint venture,500899
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,51,Update invoiced cost center on outgoing invoice - Twice Daily,Updates invoiced cost center on outgoing invoice - Twice daily,,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,52,Update invoiced cost center on outgoing invoice with Financial Customer - Twice Daily,Updates invoiced cost center on outgoing invoice with Financial Customer - Daily,,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre with Financial Customer,500903
100005,Customer invoicing,10,1,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,53,Update invoiced cost center id on outgoing invoice - Twice Daily,Updates invoiced cost center id on outgoing invoice - Twice daily,,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,20,1,Generate consolidated invoice - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,1,Generate consolidated invoice - Vehicle Procurement,Generates the consolidated invoice for vehicle procurement invoices,,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Vehicle Procurement invoice - UA,500924
100005,Customer invoicing,20,1,Generate consolidated invoice - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,2,Update invoiced cost center on consolidated invoice - Twice daily,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre,500896
100005,Customer invoicing,20,1,Generate consolidated invoice - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,3,Update invoiced cost center id on consolidated invoice - Twice daily,to be updated on each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre id,500921
100005,Customer invoicing,20,1,Generate consolidated invoice - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,4,Update consolidated invoice invoicing address with consolidated cost center address - Twice daily,to be updated on each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,1,Upfront invoicing,"Creates outgoing invoices for upfronts (customer/driver, Subvention, RMT)",100457,3057,GenerateInvoice,,
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,2,GBB invoicing,Creates outgoing invoices for GBB,100457,3057,GenerateInvoice,,
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,3,Perform Distance Settlements after Contract Termination,"Creates distance correction billing items for terminated contracts (GBB, Operating Lease, Fleet Managed) where the contract termination reason is not ET - Customer Purchase, ET - Legal Purchase, NT - Purchase, ET - Theft, ET - Written Off",100457,3057,DistanceSettlementCommand,Terminated Contracts for Distance Settlements,501003
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,4,Settlement (termination) invoicing,"Creates outgoing invoices for terminated contracts to invoice distance correction, make good, missing items and early termination charges",100457,3057,GenerateInvoice,,
100005,Customer invoicing,30,1,Generate other invoices - Daily,19/11/2021 17:30,Evening,Automated,Active,5,Update VAT Code to STDZ on Vehicle Sale BI linked to config vehicle with vehicle purchase VAT PSTDC,"Updates the VAT code on billing items to STDZ which 
- are in status Is To Be Invoiced
- have service type = Net Rental
- have billingItemType = Vehicle Sale
- have a configVehicle which was purchase with VAT code PSTDC",100457,3057,UpdateAttribute,Find vehicle sale billing items to be updated to VAT code STDZ,501208
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,6,Update VAT Code on Vehicle Sale BI linked to Vehicle Disposal only and on commission BI,"Updates the VAT code on billing items following formula logic for BI which
- are in status Is To Be Invoiced
- have billing origin = Vehicle Sale, Commission",100457,3057,ExecuteFormula,Find to be invoiced vehicle sale (linked to vehicle disposal only) and commission billing items,501348
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,7,Vehicle Sales invoicing,Creates outgoing invoices for vehicle sales and internal sales that where not directly invoicing upon vehicle sale via the 'Sell And Invoice' option. This process is to be run daily (at the end of the day). ,100457,3057,GenerateInvoice,,
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,8,Subvention tax invoicing,Creates outgoing tax invoices for subventions after vehicle sale,100457,3057,GenerateInvoice,,
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,20,Charge-back managed maintenance invoicing,Creates outgoing invoices for charge backs,100457,3057,GenerateInvoice,,
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,21,Calculate and generate managed maintenance interest billing items,Creates billing items for overdue receivables based on customer setting Charge Late Payment fee and interest % specified in LUT id 500175 Late payment interest rate MM,100457,3057,CalculateLatePaymentInterestWithBilling,Find customers with Charge Interest on MM = True,501453
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,22,Managed maintenance interest invoicing - Daily,Creates outgoing invoices for managed maintenance interest,100457,3057,GenerateInvoice,Find customers with RMT Charge back = Daily,501462
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,50,Set Joint Venture on outgoing sales invoice - Daily,Updates the Joint Venture on sales invoice,100457,3057,ExecuteFormula,Find outgoing invoices to set joint venture,500899
100005,Customer invoicing,30,1,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,51,Update invoiced cost center on outgoing invoice - Daily,Updates invoiced cost center on outgoing invoice - Daily,100457,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,30,1,Generate other invoices - Daily,18/11/2021 17:30,Evening,Automated,Active,52,Update invoiced cost center on outgoing invoice with Financial Customer - Daily,Updates invoiced cost center on outgoing invoice with Financial Customer - Daily,100457,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre with Financial Customer,500903
100005,Customer invoicing,30,1,Generate other invoices - Daily,18/11/2021 17:30,Evening,Automated,Active,53,Update invoiced cost center id on outgoing invoice - Daily,Updates invoiced cost center id on outgoing invoice - Daily,100457,3057,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,1,Generate consolidated invoice - GBB,Generates the consolidated invoice for GBB invoices,100457,3058,GenerateConsolidatedInvoice,Find customers for CI generation - GBB invoice - UA,500880
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,2,Generate consolidated invoice - Upfront (customer - driver),Generates the consolidated invoice for Upfront (customer/driver),100457,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Upfront (customer/driver) - UA,500881
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,3,Generate consolidated invoice - Upfront (plan fee OEM),Generates the consolidated invoice for Upfront (plan fee OEM),100457,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Upfront (plan fee OEM) - UA,500882
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,4,Generate consolidated invoice - Upfront (subvention),Generates the consolidated invoice for Upfront (subvention),100457,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Upfront (subvention) - UA,500883
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,5,Generate consolidated invoice - Subvention tax invoice,Generates the consolidated invoice for subvention tax invoice after vehicle sale,100457,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Subvention tax invoice,501220
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,6,Generate consolidated invoice - Charge back MM Daily,Generates the consolidated invoice for Charge back RMT on daily basis (depending on customer setting),100457,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Charge back MM Daily invoice - UA,501455
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,10,Update invoiced cost center on consolidated invoice - Evening,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run,100457,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre,500896
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,11,Update invoiced cost center id on consolidated invoice - Evening,to be updated on each consolidated invoice run,100457,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre id,500921
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,12,Update consolidated invoice invoicing address with consolidated cost center address - Evening,to be updated on each consolidated invoice run,100457,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,35,1,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,13,Update consolidated invoice sending address with consolidated cost center address - Evening,to be updated on each consolidated invoice run,100457,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,45,1,Weekly informal contract extension,17/11/2021 17:30,Evening,Automated,Active,1,Extend running contracts (Weekly),Proactively extends all contracts that normally end before the end of next month and for which the customer has not indicated his intention to return the vehicle. This process must run just before the monthly invoice run.,,3058,ExtendContracts,Running contracts which qualify for informal extension (Weekly),501001
100005,Customer invoicing,45,1,Weekly informal contract extension,17/11/2021 17:30,Evening,Automated,Active,2,Extend overdue contracts (Weekly),Extends all contracts that passed their end date and for which the customer has not returned the vehicle.,,3058,ExtendContracts,Overdue contracts which require informal extension (Weekly),501002
100005,Customer invoicing,50,1,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,1,Calculate Next Bill End Date - Weekly,Calculates the Bill Next Due Date on contracts,500828,3057,ExecuteFormula,Find NPS contracts for Next Bill End Date calculation - Weekly,500934
